age,balance,created_date,credit_score,gender,income,last_login_date,marital_status,region,transaction_amount
30 - 40,15100.31,2024-04-29,509,M,41107.83,2024-12-27,Single,Other,23.73
50 - 60,17661.31,2024-05-15,732,F,43109.88,2024-11-28,Widowed,Other,51.43
30 - 40,16077.16,2024-06-26,829,M,84921.25,2024-10-17,Divorced,Southeast,110.18
30 - 40,12924.45,2024-01-02,558,F,39535.59,2024-07-23,Single,Other,412.62
70 - 80,11322.54,2024-05-23,810,F,81388.58,2024-10-12,Single,Other,6.41
70 - 80,7356.99,2024-03-26,387,F,79446.75,2024-11-03,Married,Midlands,126.6
50 - 60,,2024-04-16,713,F,51875.27,2024-08-15,Married,North,176.91
20 - 30,15108.63,2024-09-23,348,M,123376.85,2024-06-29,Single,Central,14.85
40 - 50,5442.95,2024-03-02,415,M,44578.68,2024-07-21,Married,Central,351.85
70 - 80,16676.73,2024-04-15,505,M,32824.48,2024-09-07,Married,Central,129.0
60 - 70,12295.95,2024-10-30,441,M,36684.6,2024-12-16,Single,South,149.74
20 - 30,22646.2,2024-09-05,325,M,20183.87,2024-12-24,Married,South,315.61
60 - 70,9339.22,2024-06-17,385,F,91730.72,2024-07-08,Single,Central,90.86
60 - 70,16862.15,2024-09-05,789,M,32861.48,2024-10-08,Married,South,388.49
50 - 60,17186.06,2024-12-06,585,F,19843.36,2024-09-27,Single,North,420.63
30 - 40,15852.25,2024-05-22,390,F,37641.15,2024-08-13,Single,South,125.98
40 - 50,11320.82,2024-02-24,414,M,101040.15,2024-12-28,Single,Midlands,83.49
20 - 30,30572.8,2024-08-21,461,F,25068.19,2024-10-27,Single,Other,562.28
40 - 50,6098.72,2024-11-12,772,M,32014.14,2024-09-29,Married,Other,13.17
50 - 60,10268.25,2024-09-29,437,F,82078.81,2024-07-07,Married,Other,197.03
20 - 30,6211.8,2024-09-22,521,M,37036.37,2024-08-06,Single,West,263.84
70 - 80,18816.41,2024-04-04,715,F,89341.28,2024-09-21,Married,North,54.63
30 - 40,27003.44,2024-11-01,498,F,24963.6,2024-11-18,Single,Other,4.74
20 - 30,13927.59,2024-02-07,618,M,23608.04,2024-11-14,Married,Other,3.93
50 - 60,14890.29,2024-11-28,566,M,67887.55,2024-07-09,Single,Other,49.98
70 - 80,29113.16,2024-12-26,302,F,23105.69,2024-11-23,Married,Midlands,78.89
70 - 80,21653.15,2024-04-13,829,F,71489.23,2024-07-21,Single,Other,163.23
60 - 70,5712.45,2024-09-15,471,M,52149.39,2024-07-26,Divorced,Southeast,41.73
30 - 40,6281.98,2024-02-10,765,M,117807.69,2024-09-03,Divorced,Other,198.55
30 - 40,8666.25,2024-05-10,629,M,35961.12,2024-08-17,Single,Other,293.78
20 - 30,14902.15,2024-09-21,467,F,49035.92,2024-11-06,Single,Southeast,36.13
20 - 30,12705.07,2024-10-07,532,M,54339.49,2024-09-09,UNKNOWN,Other,322.88
30 - 40,19213.62,2024-12-30,815,M,98921.16,2024-11-21,Single,West,250.24
70 - 80,17515.3,2024-04-13,411,M,25929.97,2024-07-08,Single,Central,84.38
30 - 40,17868.3,2024-01-04,824,F,32606.15,2024-11-15,Divorced,Other,267.06
70 - 80,11043.33,2024-01-12,694,M,35474.32,2024-11-19,Married,Other,108.71
30 - 40,17994.4,2024-04-11,537,F,55163.13,2024-11-12,Married,Southeast,439.64
50 - 60,17751.77,2024-04-27,614,M,88993.02,2024-11-17,Married,Other,119.84
60 - 70,18819.66,2024-02-04,749,F,115313.63,2024-09-14,Divorced,Central,57.19
70 - 80,19674.17,2024-10-09,334,F,36274.83,2024-08-13,Single,Other,304.65
20 - 30,17088.19,2024-04-18,477,M,19792.24,2024-12-04,Single,Other,232.11
30 - 40,15188.58,2024-04-28,703,F,59286.72,2024-09-26,Divorced,Other,10.48
20 - 30,244.22,2024-03-22,416,M,50645.02,2024-07-08,Single,West,177.16
20 - 30,11037.38,2024-12-10,698,M,75478.31,2024-12-24,Married,Other,268.77
30 - 40,24017.79,2024-09-26,332,F,78065.21,2024-09-21,Married,Other,1242.48
20 - 30,14689.17,2025-01-06,789,M,38778.45,2024-07-06,Married,South,19.75
20 - 30,,2024-03-16,654,F,40586.47,2024-08-07,Widowed,Midlands,256.2
50 - 60,14620.01,2024-12-13,534,F,35224.31,2024-09-18,Married,South,196.54
50 - 60,,2024-10-19,769,F,49534.08,2024-08-13,Widowed,South,201.58
20 - 30,19106.02,2024-05-10,344,F,45353.31,2024-09-13,Married,Other,118.42
50 - 60,17101.97,2024-04-29,786,F,41641.47,2024-10-20,Single,Other,102.2
70 - 80,16230.53,2024-08-08,397,F,61349.94,2024-12-09,Married,North,41.13
60 - 70,18313.71,2024-03-30,669,M,51377.07,2024-07-30,Single,South,30.08
30 - 40,37803.91,2024-07-22,726,F,58621.62,2024-10-16,Widowed,Other,56.95
40 - 50,11805.23,2024-07-15,475,F,30284.98,2024-11-27,Married,Other,234.79
20 - 30,12502.32,2024-03-31,308,F,130264.81,2024-10-22,Single,Midlands,567.77
20 - 30,,2024-11-11,438,F,82020.06,2024-10-20,Married,Other,203.64
50 - 60,19616.47,2024-07-06,521,F,67023.66,2024-12-07,Married,South,905.61
70 - 80,27491.19,2024-10-21,747,F,38966.6,2024-08-03,Married,Other,206.85
30 - 40,19794.48,2024-06-03,302,F,84204.19,2024-10-09,Single,North,120.87
40 - 50,29663.23,2024-05-17,412,M,69503.62,2024-09-08,Married,Central,28.0
40 - 50,12504.24,2024-05-23,401,M,77474.18,2024-09-15,Single,South,83.07
30 - 40,21266.77,2024-09-22,786,F,92335.6,2024-12-21,Divorced,Southeast,181.12
20 - 30,17200.0,2024-11-20,434,F,94374.52,2025-01-02,Married,Other,176.34
20 - 30,8871.3,2024-03-16,546,F,22141.65,2024-07-28,Single,Other,433.32
20 - 30,10288.03,2024-06-13,404,M,21720.77,2024-09-22,Married,Southeast,201.4
20 - 30,14607.46,2024-10-08,720,M,62708.33,2024-09-03,Widowed,South,67.77
20 - 30,5420.54,2024-01-05,476,F,44332.52,2024-12-13,Married,North,155.45
40 - 50,21421.79,2024-03-24,803,M,47589.0,2024-11-30,Married,Midlands,166.56
30 - 40,4731.15,2024-03-09,464,M,26726.21,2024-08-11,Married,Other,8.2
70 - 80,5793.3,2024-07-16,350,M,146112.9,2024-07-28,Married,Central,249.21
30 - 40,14321.12,2024-03-03,677,F,44922.64,2024-08-10,Divorced,Midlands,90.78
20 - 30,16283.34,2024-11-17,741,M,48834.76,2024-08-02,Widowed,South,143.94
70 - 80,24640.08,2024-10-28,759,M,27319.33,2024-11-10,Single,West,323.55
60 - 70,19616.83,2024-08-02,463,F,39871.64,2025-01-03,Single,North,51.83
30 - 40,9112.01,2024-09-12,626,F,62852.32,2024-07-10,Married,Southeast,1050.09
40 - 50,9597.82,2024-05-17,453,M,71986.98,2024-12-31,Single,Other,5.56
70 - 80,16061.05,2024-06-26,719,M,36074.18,2024-07-27,Married,Other,98.08
30 - 40,13076.84,2024-04-17,576,F,76053.62,2024-09-11,Divorced,North,702.58
20 - 30,11156.4,2024-08-13,709,M,67864.68,2024-07-15,Married,South,282.05
60 - 70,25403.84,2024-12-19,629,F,57067.0,2024-09-20,Divorced,Other,52.03
50 - 60,9978.84,2024-08-24,532,M,78260.91,2024-09-11,Single,West,111.62
50 - 60,23362.81,2024-07-19,541,F,67872.68,2024-08-27,Divorced,South,298.93
70 - 80,17371.43,2024-09-03,737,M,49125.04,2024-08-14,Married,Central,8.36
20 - 30,26167.69,2024-12-12,675,M,31004.03,2024-07-19,Single,South,208.82
40 - 50,19382.13,2024-04-09,671,M,59170.29,2024-10-28,UNKNOWN,Other,192.25
40 - 50,7865.97,2024-04-10,455,M,65239.99,2024-07-18,Married,Midlands,143.44
20 - 30,35314.15,2024-07-24,481,F,40881.22,2024-11-21,Married,Southeast,133.2
30 - 40,5234.54,2024-06-11,381,F,46784.65,2024-10-11,Widowed,North,181.78
20 - 30,20908.97,2024-09-24,542,M,114081.84,2024-09-28,Married,Southeast,345.34
30 - 40,13938.88,2024-01-22,545,F,21679.04,2024-11-14,Divorced,North,112.16
50 - 60,,2024-10-01,771,F,68016.13,2024-08-27,Single,Other,303.42
50 - 60,18793.76,2024-05-08,612,M,42313.39,2024-11-21,Single,Other,217.78
20 - 30,9327.35,2024-10-10,456,M,31915.37,2024-07-27,Divorced,Southeast,144.46
30 - 40,10094.79,2024-01-24,584,M,46385.68,2024-09-07,Single,Other,528.65
30 - 40,16698.43,2024-04-07,484,F,38760.69,2024-11-14,Divorced,Other,263.99
50 - 60,19712.6,2024-01-26,480,F,50522.78,2024-11-03,Single,South,156.55
40 - 50,12604.23,2024-10-11,655,M,19111.87,2024-07-07,Divorced,South,329.16
70 - 80,6753.04,2024-12-08,785,F,59156.88,2024-08-08,Married,Midlands,383.67
40 - 50,3186.44,2024-10-14,555,M,29809.58,2024-08-03,Single,Other,49.92
60 - 70,10624.63,2024-10-11,743,M,43319.74,2024-11-25,Married,South,33.68
70 - 80,21467.2,2024-10-27,702,F,26339.97,2024-10-16,Married,Other,209.26
20 - 30,19702.12,2024-11-13,492,M,34433.17,2024-10-11,Single,South,277.0
70 - 80,6879.64,2024-05-27,536,F,39964.29,2024-08-09,Single,Midlands,166.01
70 - 80,2711.48,2024-10-08,619,M,40918.48,2024-12-03,Single,West,286.49
20 - 30,12211.38,2024-03-28,758,M,63548.13,2024-08-16,Single,Other,221.67
70 - 80,10397.54,2024-02-03,701,M,80760.6,2024-11-01,Single,Central,175.08
70 - 80,34294.83,2024-08-13,586,M,20631.29,2024-10-28,Single,West,379.41
70 - 80,21894.16,2024-07-10,769,F,77871.58,2024-11-20,Single,Midlands,198.33
20 - 30,20387.07,2024-03-07,616,M,73791.93,2024-10-14,Single,Southeast,134.55
70 - 80,4571.43,2024-12-13,597,M,61639.14,2024-07-22,Married,Other,296.89
40 - 50,25271.58,2024-07-04,661,F,70662.01,2024-10-24,Single,Other,423.5
30 - 40,16438.72,2024-03-13,599,M,46544.29,2024-09-16,Divorced,Other,1025.16
70 - 80,12817.02,2024-08-30,321,F,67794.83,2024-09-04,Widowed,North,81.76
50 - 60,14022.13,2024-02-26,790,F,79797.5,2024-10-17,Single,Other,365.46
70 - 80,15849.79,2024-01-10,472,F,109666.16,2024-11-19,Married,Other,574.34
50 - 60,19238.79,2024-10-10,664,M,60332.09,2024-08-27,Single,West,633.23
40 - 50,11751.23,2024-08-11,596,M,63431.68,2024-12-10,UNKNOWN,Central,1013.31
20 - 30,133.38,2024-08-23,647,F,34950.25,2024-10-06,Married,Southeast,171.37
60 - 70,20405.98,2024-07-26,541,M,20515.78,2024-09-19,Single,Southeast,223.83
20 - 30,7321.23,2024-12-14,834,M,31930.59,2024-11-06,Married,South,214.76
30 - 40,-4921.16,2024-02-18,633,F,20782.35,2024-09-26,Single,Midlands,247.02
40 - 50,20525.08,2024-02-27,752,F,25599.33,2024-08-25,Widowed,Other,116.54
70 - 80,8291.97,2024-12-21,510,F,74742.47,2024-09-19,Single,Other,90.33
30 - 40,23690.26,2024-01-28,566,M,77304.54,2024-07-08,Married,West,95.5
60 - 70,19488.85,2024-08-03,638,M,34838.21,2024-07-19,Married,Other,293.45
50 - 60,,2024-07-07,421,F,48922.33,2024-12-30,Married,North,576.35
60 - 70,14496.1,2024-11-02,638,M,116628.1,2024-12-25,Single,Central,39.87
60 - 70,18305.23,2024-09-30,616,F,32587.77,2024-12-13,Married,Other,36.13
30 - 40,15927.16,2024-06-23,815,M,136717.38,2024-09-02,Single,Other,133.15
70 - 80,7338.52,2024-10-11,307,M,32137.57,2024-09-19,Married,Other,292.33
50 - 60,9732.98,2024-03-24,642,F,32236.74,2024-08-29,Single,South,109.17
30 - 40,27169.83,2024-02-13,340,F,65258.15,2024-09-26,Widowed,Other,616.98
30 - 40,27012.99,2024-07-09,363,F,76939.52,2024-12-30,Married,South,1828.45
30 - 40,17024.11,2024-07-23,710,F,51438.48,2024-09-22,Single,South,42.11
40 - 50,18492.11,2024-02-04,561,F,28381.72,2024-12-16,Single,Central,670.12
70 - 80,24630.76,2024-02-23,378,M,56972.34,2024-09-19,Single,Other,212.04
30 - 40,1719.1,2024-02-27,487,M,19807.08,2024-11-11,Married,Southeast,170.68
60 - 70,16416.33,2024-06-22,392,F,32594.26,2024-09-17,Married,Central,109.05
20 - 30,13815.82,2024-07-06,488,F,62154.4,2024-07-11,Married,Other,18.34
70 - 80,14000.21,2024-08-04,417,F,73325.35,2024-06-28,Single,North,261.05
50 - 60,22853.44,2024-12-22,482,M,30408.32,2024-09-24,Married,Other,30.9
60 - 70,2516.1,2024-11-04,574,M,67125.02,2024-10-06,Married,Central,158.62
70 - 80,19993.85,2024-09-23,306,F,88156.43,2024-07-06,Divorced,Other,8.36
70 - 80,21766.35,2024-01-03,428,F,45994.12,2024-10-24,Married,Other,244.38
60 - 70,21474.61,2024-06-23,846,M,39094.01,2024-07-05,UNKNOWN,Other,27.59
50 - 60,21812.54,2024-09-11,545,M,156263.33,2024-10-27,Married,West,167.13
20 - 30,22488.47,2024-05-06,562,F,45796.04,2024-07-02,Married,North,590.48
20 - 30,13810.82,2024-01-05,513,M,55756.95,2024-12-09,Single,Southeast,14.09
60 - 70,20688.88,2024-01-02,452,F,101654.57,2024-07-16,Single,North,26.23
20 - 30,,2024-07-14,425,F,25756.14,2024-11-11,Single,Midlands,101.06
70 - 80,34604.22,2024-10-27,604,F,33864.48,2024-11-27,Married,Southeast,336.24
40 - 50,16515.42,2024-01-14,388,M,53639.51,2024-10-30,Single,Other,61.11
60 - 70,9435.96,2024-05-08,436,M,43277.59,2024-10-26,Single,South,289.77
30 - 40,16732.35,2024-10-09,404,F,154829.54,2024-07-04,Single,Other,267.0
50 - 60,40502.98,2024-11-19,432,F,30580.26,2024-08-29,Widowed,South,268.14
70 - 80,24620.24,2024-12-04,760,M,43652.11,2024-07-12,Married,Midlands,116.86
70 - 80,-4997.12,2024-04-16,616,F,100777.28,2024-07-19,Widowed,Other,49.43
50 - 60,15961.21,2024-01-22,577,F,71614.39,2024-09-04,Widowed,North,210.69
20 - 30,7558.21,2024-04-04,824,F,94309.59,2024-12-11,Married,North,146.65
20 - 30,16921.06,2024-12-16,741,M,45193.83,2024-09-08,Married,Central,159.58
50 - 60,10753.35,2024-12-15,780,M,74329.67,2024-12-26,Widowed,Other,400.86
30 - 40,23038.39,2024-10-25,809,F,161036.19,2024-07-08,Married,South,249.33
70 - 80,16840.51,2024-03-26,494,M,36976.51,2024-08-03,Single,Other,87.1
40 - 50,24925.11,2024-10-29,321,M,63116.58,2024-08-13,Single,South,144.46
70 - 80,23456.57,2024-12-17,324,F,96278.26,2024-12-08,Widowed,Southeast,59.79
50 - 60,-85.16,2024-09-11,612,F,81388.78,2024-10-19,Widowed,North,409.58
40 - 50,23763.36,2024-05-23,732,M,31622.3,2024-08-22,Single,Midlands,64.76
20 - 30,17075.32,2024-09-14,787,F,29781.84,2024-07-26,Married,Other,94.46
60 - 70,,2024-01-07,837,M,44701.1,2024-09-06,Married,Other,102.74
30 - 40,4779.05,2024-06-30,520,F,32172.92,2024-09-08,Single,Midlands,347.14
60 - 70,27358.84,2024-02-11,378,F,56960.98,2024-07-18,Divorced,Other,120.85
40 - 50,15761.83,2024-06-11,828,F,63555.26,2024-12-16,Single,Central,3.91
70 - 80,12649.77,2024-10-04,839,F,64662.53,2024-11-01,Married,Southeast,84.27
50 - 60,28004.07,2024-03-14,508,M,41236.08,2024-12-18,Divorced,Other,437.09
70 - 80,6410.86,2024-02-16,581,F,34603.15,2024-10-02,Married,Midlands,13.96
70 - 80,9803.77,2024-02-15,771,M,20392.83,2024-12-14,Married,West,400.37
20 - 30,37490.6,2025-01-03,422,F,34968.17,2024-11-24,Married,Southeast,85.13
50 - 60,8385.67,2024-12-27,371,F,69524.49,2024-09-27,Widowed,Other,207.85
60 - 70,24438.56,2024-08-05,677,M,86767.46,2024-11-14,Single,Southeast,620.28
20 - 30,15670.26,2024-02-13,531,M,95232.21,2024-07-16,UNKNOWN,Central,435.15
20 - 30,18765.49,2024-06-23,743,F,23991.92,2024-08-14,Divorced,Other,52.41
70 - 80,16979.47,2024-02-17,534,F,29268.7,2024-09-17,Divorced,North,76.12
40 - 50,4343.4,2024-01-16,453,F,35784.63,2024-09-25,Married,Other,376.92
20 - 30,24684.85,2024-07-31,843,M,90307.75,2024-10-03,Married,South,175.08
30 - 40,3638.93,2024-09-15,720,M,28607.36,2024-09-10,Married,Southeast,525.49
30 - 40,9424.89,2024-08-27,458,M,141257.96,2024-10-30,Widowed,West,293.54
40 - 50,11325.55,2024-04-10,455,F,87440.36,2024-07-15,Single,Other,179.13
20 - 30,24968.66,2024-02-27,333,F,59437.29,2024-09-17,Married,Other,51.71
30 - 40,22368.4,2024-12-14,611,M,48415.51,2024-11-06,Married,Other,184.69
60 - 70,9468.19,2024-03-08,624,M,59898.17,2024-12-17,Married,Other,5.55
30 - 40,22693.87,2024-10-31,643,F,57671.14,2024-08-28,Single,Other,151.6
30 - 40,19395.36,2024-03-31,553,M,74122.57,2024-07-06,Widowed,West,195.69
30 - 40,17229.34,2024-03-27,421,F,34937.96,2024-09-17,Single,Other,460.42
70 - 80,14792.31,2024-07-30,738,M,24330.87,2024-08-10,Married,Other,82.85
50 - 60,31068.82,2024-09-04,736,F,34443.73,2024-08-30,Widowed,North,194.26
20 - 30,22300.12,2024-05-09,636,M,39005.2,2024-11-06,Married,Southeast,235.23
20 - 30,1213.26,2024-11-12,346,F,56055.47,2024-12-12,Married,Midlands,207.22
50 - 60,11574.54,2024-08-21,849,M,47803.33,2024-11-10,Married,West,186.61
20 - 30,16114.99,2024-05-24,672,F,63599.0,2024-12-08,Married,Other,192.4
40 - 50,11670.17,2024-04-10,704,M,23332.43,2024-10-06,Divorced,Central,314.98
70 - 80,-1894.98,2024-04-27,598,F,40113.93,2024-08-17,Married,Midlands,84.54
20 - 30,943.72,2024-06-16,749,M,58004.18,2024-09-11,Married,West,75.82
20 - 30,14353.67,2024-01-01,314,F,48381.7,2024-11-24,Married,North,204.32
70 - 80,17730.25,2024-07-24,670,F,44962.47,2024-08-01,Married,Southeast,823.62
30 - 40,4137.14,2024-02-01,761,F,39365.1,2024-10-26,Single,Other,75.16
40 - 50,12566.85,2024-10-28,727,M,31162.19,2024-07-31,Single,South,20.71
40 - 50,15848.43,2024-03-13,435,M,48111.54,2024-09-28,Divorced,Central,1082.72
60 - 70,16200.2,2024-03-13,645,M,20066.03,2024-11-03,Single,Other,36.85
60 - 70,5451.83,2024-11-13,850,F,54100.09,2024-11-11,Married,Other,184.43
40 - 50,,2024-09-11,626,M,33205.06,2024-08-23,Married,South,387.7
50 - 60,18360.65,2024-10-12,419,M,50210.6,2024-09-23,Single,Other,422.76
50 - 60,12451.29,2024-12-04,461,M,89306.08,2024-11-12,Divorced,Other,88.68
20 - 30,5386.72,2024-03-27,453,M,49975.89,2024-11-04,Married,Other,539.46
60 - 70,15906.3,2024-01-12,742,M,29021.71,2024-09-21,Married,Southeast,238.61
20 - 30,14303.88,2024-11-22,706,F,38143.09,2024-11-16,Single,Southeast,35.1
70 - 80,13105.27,2024-05-24,349,M,54295.36,2024-09-07,Single,Other,142.43
50 - 60,20019.65,2024-12-26,434,M,38986.41,2024-12-19,Divorced,Other,160.36
30 - 40,8330.46,2024-03-25,783,M,68362.11,2024-09-18,Single,Other,248.62
20 - 30,8133.32,2024-06-12,464,M,89847.2,2024-06-26,Widowed,Other,22.3
40 - 50,21113.08,2024-04-12,489,M,24458.36,2024-10-06,UNKNOWN,Midlands,305.38
40 - 50,20353.99,2024-08-30,778,F,43881.3,2024-08-23,Married,Other,270.89
50 - 60,2115.18,2024-08-07,661,F,33661.12,2024-12-12,UNKNOWN,Other,301.14
50 - 60,2915.59,2024-12-29,455,F,40622.07,2024-10-14,Single,Other,90.45
70 - 80,6388.91,2024-04-25,697,M,87055.25,2024-11-11,Married,Central,347.87
40 - 50,11276.56,2024-09-25,707,M,47689.39,2024-11-15,Single,Other,52.08
50 - 60,14658.4,2024-04-06,316,M,68343.08,2024-07-19,Single,Other,327.98
70 - 80,31619.91,2024-01-01,817,F,80055.99,2024-10-17,Widowed,Midlands,151.05
20 - 30,12603.03,2024-07-25,845,M,86527.83,2024-09-18,Married,West,457.76
40 - 50,22582.32,2024-03-07,432,F,31461.47,2024-07-17,Divorced,Other,136.7
60 - 70,,2024-05-29,526,F,53196.33,2024-11-14,Single,Central,347.24
20 - 30,6748.06,2024-10-10,725,F,37250.32,2024-09-24,Married,Midlands,147.38
40 - 50,23453.47,2024-07-15,401,F,94813.19,2024-07-29,Married,Central,170.86
30 - 40,20442.72,2024-04-08,833,M,74706.22,2024-08-06,Widowed,West,17.9
70 - 80,20854.11,2024-07-13,583,F,43274.82,2024-12-01,Single,Midlands,384.72
60 - 70,9054.52,2024-12-30,519,F,97474.43,2024-12-08,Single,Other,313.47
30 - 40,5654.06,2024-10-27,735,M,85706.82,2024-08-18,Single,Southeast,844.06
60 - 70,14605.05,2024-10-14,656,M,75028.75,2024-12-10,Married,South,216.3
50 - 60,14294.42,2024-11-12,391,F,28536.41,2024-07-20,Single,Other,1138.84
20 - 30,17122.74,2024-09-15,612,M,47670.79,2024-11-11,Single,West,105.03
70 - 80,23604.39,2024-10-29,341,M,54386.66,2024-09-21,Single,Central,431.82
20 - 30,14901.34,2024-10-19,651,M,76866.08,2024-09-04,Married,Other,248.81
20 - 30,15941.95,2024-02-29,333,M,36978.86,2024-08-30,Married,Southeast,133.9
40 - 50,15062.41,2024-04-22,692,M,36012.01,2024-09-25,Married,South,379.79
20 - 30,4905.41,2024-11-05,444,M,95264.83,2024-12-15,Widowed,Other,394.96
60 - 70,3215.83,2024-10-08,635,F,36093.38,2024-08-24,Single,North,632.34
60 - 70,2955.79,2024-05-22,716,M,42444.29,2024-07-23,Divorced,Southeast,124.47
40 - 50,16417.03,2024-02-05,750,F,101617.82,2024-12-09,Married,Other,5.46
60 - 70,40051.97,2024-02-19,608,M,44814.13,2024-10-27,Divorced,Central,24.45
50 - 60,18204.85,2024-09-06,422,M,73972.73,2024-10-11,UNKNOWN,Other,676.67
70 - 80,32210.58,2024-08-28,384,M,80537.56,2024-10-16,Married,Midlands,225.16
60 - 70,18439.98,2024-04-28,461,M,61731.96,2024-08-25,Single,Central,49.85
50 - 60,34061.98,2024-01-12,587,M,37579.47,2024-11-24,Married,Other,144.5
60 - 70,14133.06,2024-08-20,801,F,113005.76,2024-09-21,Married,Central,103.35
40 - 50,33244.18,2024-07-17,515,M,82027.37,2024-07-06,Married,Other,665.91
50 - 60,15300.63,2024-09-12,575,F,45079.67,2024-08-31,Married,Other,44.22
30 - 40,18896.59,2024-08-06,790,F,50705.11,2024-10-31,Divorced,Other,205.28
